layer,max_abs_diff,mean_abs_diff,cosine_similarity
1,0.0,0.0,0.9999999999999999
2,0.0,0.0,0.9999999999999999
3,0.0,0.0,0.9999999999999998
4,0.0,0.0,1.0
5,0.0,0.0,0.9999999999999999
6,0.0,0.0,0.9999999999999998
7,0.0,0.0,1.0000000000000002
8,0.0,0.0,1.0
9,0.0,0.0,1.0
10,0.0,0.0,1.0
11,0.0,0.0,1.0000000000000002
12,0.0,0.0,0.9999999999999999
