layer,exact_match_pct,within_1px_pct,max_diff_px,mean_diff_px
1,94.14,100.0,1.0,0.0586
2,99.29,100.0,1.0,0.0071
3,90.0,100.0,1.0,0.1
4,95.43,100.0,1.0,0.0457
5,100.0,100.0,0.0,0.0
6,98.71,100.0,1.0,0.0129
7,100.0,100.0,0.0,0.0
8,100.0,100.0,0.0,0.0
9,100.0,100.0,0.0,0.0
10,100.0,100.0,0.0,0.0
11,100.0,100.0,0.0,0.0
12,100.0,100.0,0.0,0.0
