subject_id,group,image_id,layer,n_fixations,nss,auc_judd,sauc
H001,healthy,img_0000,1,11,1.1842469073066892,0.8319318181818182,0.6239669421487604
H001,healthy,img_0000,2,11,0.8474041007368904,0.7022990909090909,0.5107438016528926
H001,healthy,img_0000,3,11,1.0043011557809263,0.7783654545454546,0.5611570247933885
H001,healthy,img_0000,4,11,1.4084051735473604,0.8437309090909091,0.6256198347107438
H001,healthy,img_0001,1,5,0.6693062199469609,0.68944,0.392
H001,healthy,img_0001,2,5,0.7771684802181751,0.709534,0.4040000000000001
H001,healthy,img_0001,3,5,0.7437012577558579,0.705436,0.42800000000000005
H001,healthy,img_0001,4,5,0.7873832591676805,0.691196,0.388
H002,healthy,img_0000,1,11,1.2210665774546428,0.8402999999999999,0.6553719008264463
H002,healthy,img_0000,2,11,1.0152777647442581,0.7715009090909091,0.5446280991735537
H002,healthy,img_0000,3,11,1.1766659346590544,0.8344800000000001,0.5925619834710744
H002,healthy,img_0000,4,11,1.563980070432055,0.8466663636363637,0.6380165289256199
H002,healthy,img_0001,1,5,0.8734000720848819,0.758234,0.40800000000000003
H002,healthy,img_0001,2,5,0.9773604877274554,0.787762,0.4
H002,healthy,img_0001,3,5,0.9295819616002692,0.7808539999999999,0.384
H002,healthy,img_0001,4,5,1.229474572087021,0.770884,0.488
H003,healthy,img_0000,1,7,0.9192290567863296,0.7629928571428571,0.5224489795918367
H003,healthy,img_0000,2,7,1.606089991606144,0.8789142857142856,0.6816326530612244
H003,healthy,img_0000,3,7,1.3274388160336004,0.8754571428571428,0.6469387755102041
H003,healthy,img_0000,4,7,0.6013394128533373,0.7510314285714286,0.4979591836734694
H003,healthy,img_0001,1,5,0.9906771973184065,0.788752,0.46399999999999997
H003,healthy,img_0001,2,5,1.115165846662336,0.8040959999999999,0.5120000000000001
H003,healthy,img_0001,3,5,1.0728662032022243,0.8033279999999999,0.5200000000000001
H003,healthy,img_0001,4,5,0.9201461314497419,0.7647619999999999,0.42800000000000005
H004,healthy,img_0000,1,5,1.3268189340804895,0.871636,0.6799999999999999
H004,healthy,img_0000,2,5,0.6038788428200462,0.685214,0.41600000000000004
H004,healthy,img_0000,3,5,1.0108336885689337,0.7904979999999999,0.5599999999999999
H004,healthy,img_0000,4,5,1.509452232329049,0.874678,0.6799999999999999
H004,healthy,img_0001,1,10,0.6721101324191482,0.689998,0.40199999999999997
H004,healthy,img_0001,2,10,0.8776965319428228,0.7414170000000001,0.43099999999999994
H004,healthy,img_0001,3,10,0.8136257617163487,0.733286,0.45
H004,healthy,img_0001,4,10,1.0965900256946752,0.765756,0.42300000000000004
H005,healthy,img_0000,1,8,0.6373303538443086,0.68685,0.3890625
H005,healthy,img_0000,2,8,1.2214992662504276,0.77914875,0.609375
H005,healthy,img_0000,3,8,1.0199456613066147,0.78126875,0.575
H005,healthy,img_0000,4,8,0.6502549356743099,0.6996987499999999,0.4859375
H005,healthy,img_0001,1,14,0.813737538557058,0.7254028571428572,0.46224489795918366
H005,healthy,img_0001,2,14,1.011663058998327,0.7701792857142857,0.4974489795918366
H005,healthy,img_0001,3,14,0.9332689494985981,0.76828,0.5301020408163266
H005,healthy,img_0001,4,14,1.2190546577016081,0.7572728571428571,0.4056122448979592
S001,schizophrenia,img_0000,1,5,0.2538914548875595,0.56334,0.364
